date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:19	2404/2404	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Jan%202016%2015:55:33%20GMT	http://museopedrodeosma.org/wp-content/plugins/responsive-tabs-pro/css/rtbs_style.min.css?ver=4.4.3	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/responsive-tabs-pro/css/rtbs_style.mincb20.css	(from http://museopedrodeosma.org/en/)
00:46:23	95977/95977	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Jun%202015%2006:40:24%20GMT	http://museopedrodeosma.org/wp-includes/js/jquery/jquery.js?ver=1.11.3	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/js/jquery/jqueryc1d8.js	(from http://museopedrodeosma.org/en/)
00:46:24	7200/7200	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jul%202013%2022:28:26%20GMT	http://museopedrodeosma.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://museopedrodeosma.org/en/)
00:46:25	16117/16117	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:06%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.hashchange.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.hashchange4468.js	(from http://museopedrodeosma.org/en/)
00:46:27	4264/4264	---M--	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202016%2015:55:33%20GMT	http://museopedrodeosma.org/wp-content/plugins/responsive-tabs-pro/js/rtbs.min.js?ver=4.4.3	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/plugins/responsive-tabs-pro/js/rtbs.mincb20.js	(from http://museopedrodeosma.org/en/)
00:46:29	1004/1004	---MC-	200	added ('OK')	application/json	date:Fri,%2020%20May%202016%2005:46:28%20GMT	http://museopedrodeosma.org/en/wp-json/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/wp-json/index.html	(from http://museopedrodeosma.org/en/)
00:46:31	39289/39289	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2020%20May%202016%2005:46:29%20GMT	http://museopedrodeosma.org/xmlrpc.php?rsd	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/xmlrpc.110db0.delayed	(from http://museopedrodeosma.org/en/)
00:46:35	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2003:49:12%20GMT	http://museopedrodeosma.org/wp-includes/wlwmanifest.xml	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/wlwmanifest.xml	(from http://museopedrodeosma.org/en/)
00:46:41	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%224fbd15cb6047af93373f4f895639c8bf%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	/home/merunga/websites/museopedrodeosma/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://museopedrodeosma.org/en/)
00:46:42	41/41	---MCZ	200	added ('OK')	text/javascript	etag:W/%223569e4113eefa423e0e8a93c98ac86d8%22	http://api.at.getsocial.io/widget/v1/gs_async.js?id=	/home/merunga/websites/museopedrodeosma/api.at.getsocial.io/widget/v1/gs_async5445.js	(from http://museopedrodeosma.org/en/)
